ions,moleculeNames
C18H32O4+Na+,11-HpODE
C18H32O3+Na+,"(9Z,​11E)-13-HODE"
C18H30O4+Na+,Auxin b
C20H30O4+H+,"5,12-dihydroxy-6,8,10,14,17-eicosapentaenoic acid"
C18H30O3+Na+,5-Butyl-3-methyl-2-furannonanoic acid
C26H54NO6P+Na+,LysoPC(P-18:0)
C18H34O3+Na+,"9,10-epoxyoctadecanoic acid"
C26H48NO7P+H+,"LysoPC(18:3(9Z,12Z,15Z))"
C24H50NO7P+Na+,LysoPC(16:0)
C20H28O3+H+,Phytocassane D
C18H36O3+Na+,5-Hydroxyoctadecanoic acid
C20H28O4+H+,"5,6-epoxy,18R-HEPE"
C20H30O3+H+,"(4E)-1-(3,4-dihydroxyphenyl)tetradec-4-en-3-one"
C20H34O3+H+,5-Hexyl-3-methyl-2-furannonanoic acid
C26H52NO7P+Na+,2-oleoyl-sn-glycero-3-phosphocholine
C18H32O2+Na+,Octadecadienoate
C20H32O3+H+,"12,15-Epoxy-13,14-dimethyloctadeca-10,12,14-trienoic acid"
C18H32O5+Na+,"(9R,10S,12Z)-9,10-Dihydroxy-8-oxo-12-octadecenoic acid"
C26H54NO7P+Na+,2-acetyl-1-alkyl-sn-glycero-3-phosphocholine
C19H34O4+Na+,1-Acetoxy-2-hydroxy-16-heptadecen-4-one
C18H30O5+Na+,"(3b,6b,8a,12a)-8,12-Epoxy-7(11)-eremophilene-6,8,12-trimethoxy-3-ol"
C20H28O5+H+,"12,20-Dioxo-leukotriene B4"
C20H30O5+H+,(5S)-hydroperoxy-18-hydroxy-EPE
C21H28O3+Na+,"12-Methoxy-8,11,13-abietatrien-20,11-olide"
C39H79N2O6P+Na+,Palmitoyl sphingomyelin
C20H32O5+Na+,5-hydroperoxy-15-HETE
C18H32O4+K+,11-HpODE
C28H50NO7P+H+,"LysoPC(20:4(8Z,11Z,14Z,17Z))"
C26H56NO6P+Na+,1-octadecylglycero-3-phosphocholine
C20H30O2+H+,Methenolone
C38H66O4+Na+,Erythrinasinate A
C21H32O4+H+,(4E)-6-hydroxy-1-(4-hydroxy-3-methoxyphenyl)tetradec-4-en-3-one
C19H32O4+Na+,1-Acetoxy-2-hydroxy-16-heptadecyn-4-one
C22H30O5+H+,"11,12-Dimethylrosmanol"
C35H64O6+Na+,cis-Murisolinone
C54H100O5+K+,"TG(18:3(9Z,12Z,15Z)/15:0/o-18:0)"
C30H52O6+Na+,Fasciculol C
C26H50NO7P+Na+,2-linoleoyl-sn-glycero-3-phosphocholine
C33H65O10P+H+,PG(i-14:0/i-13:0)
C18H28O5+Na+,Cibaric acid
C21H26O3+Na+,Acitretin
C20H30O2+Na+,Methenolone
C51H98NO8P+H+,PE-NMe2(24:1(15Z)/20:1(11Z))
C20H26O5+H+,19-Noraldosterone
C35H64O9+K+,Annohexocin
C28H52NO7P+H+,"LysoPC(20:3(8Z,11Z,14Z))"
C19H34O3+Na+,(R)-2-Hydroxysterculic acid
C36H68O4+K+,FAHFA(18:1(9Z)/6-O-18:0)
C21H30O4+H+,"12-Hydroxy-11-methoxy-8,11,13-abietatrien-20-oic acid"
C35H64O8+K+,Muricatalin
C35H62O6+Na+,Corossolone
C35H68O5+K+,DG(i-24:0/0:0/8:0)
C21H28N2OS+H+,3-Methylthiofentanyl
C44H78O5+K+,DG(18:2n6/0:0/22:2n6)
C36H62O8+Na+,Squamosinin A
C19H32O3+Na+,"5-Ethyl-3,4-dimethyl-2-furanundecanoic acid"
C24H50NO7P+K+,LysoPC(16:0)
C28H44N4O4+Na+,Adouetine X
C37H58O6+H+,Hericenone G
C18H24N2O5+H+,Enalaprilat
C20H28O4+Na+,"5,6-epoxy,18R-HEPE"
C18H34O4+Na+,Dibutyl decanedioate
C20H30O4+Na+,"5,12-dihydroxy-6,8,10,14,17-eicosapentaenoic acid"
C30H47NO4S+H+,Retapamulin
C15H31O7P+H+,LysoPA(i-12:0/0:0)
C20H32O4+Na+,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid"
C51H91NO10P+H+,"PC(MonoMe(9,5)/DiMe(13,5))"
C35H66O8+K+,Donhexocin
C37H48O+Na+,2'-Apo-beta-carotenal
C40H58O2+H+,"15,15'-Dihydroxy-beta-carotene"
C18H34O2+Na+,cis-Vaccenic acid
C20H34O5+Na+,"11,12,15-trihydroxyeicosatrienoic acid"
C59H92O4+H+,Ubiquinol-10
C20H32O2+Na+,Oryzalexin E
C54H102O5+K+,"TG(18:2(9Z,12Z)/15:0/o-18:0)"
C26H48O5+H+,Momordol
C26H52NO7P+K+,2-oleoyl-sn-glycero-3-phosphocholine
C63H92O6+Na+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
C18H30O4+K+,Auxin b
C21H28O2+Na+,Ethisterone
C22H32O5+H+,9alpha-(3-Methyl-2E-butenoyloxy)-4S-hydroxy-10(14)-oplopen-3-one 4-acetate
C49H98NO8P+Na+,PE-NMe2(20:0/22:0)
C24H30+K+,Xylene
C21H30O3+H+,11-hydroxy-Delta(9)-tetrahydrocannabinol
C17H28N2O5+H+,Perindoprilat
C47H93N2O6P+Na+,SM(d18:1/24:1(15Z))
C39H56O2+H+,Germanicol cinnamate
C57H96O5+Na+,"TG(18:4(6Z,9Z,12Z,15Z)/o-18:0/18:4(6Z,9Z,12Z,15Z))"
C22H30O4+H+,Piperoic acid
C30H42N4O4+H+,Metabolite M6
C20H30O3+Na+,"(4E)-1-(3,4-dihydroxyphenyl)tetradec-4-en-3-one"
C20H32O6+Na+,20-hydroxylipoxin A4
C21H32O3+H+,5beta-dihydrodeoxycorticosterone
C54H98O5+K+,"TG(18:4(6Z,9Z,12Z,15Z)/15:0/o-18:0)"
C20H32O4+H+,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid"
C24H50NO6P+Na+,LysoPC(P-16:0)
C51H96NO8P+H+,"PE-NMe2(24:1(15Z)/20:2(11Z,14Z))"
C21H38O6+Na+,Cryptomeridiol 11-rhamnoside
C28H56NO7P+Na+,PC(18:1(9Z)e/2:0)
C30H54NO7P+H+,"LysoPC(22:4(7Z,10Z,13Z,16Z))"
C28H46O4+Na+,3-Dehydroteasterone
C20H30O5+Na+,(5S)-hydroperoxy-18-hydroxy-EPE
C22H28O5+H+,Tanabalin
C35H60O6+Na+,Schottenol 3-glucoside
C22H30O6+H+,Nigakihemiacetal B
C49H100N2O6P+K+,SM(d18:1/26:0)
C57H86O4+H+,"3-Decaprenyl-4,5-dihydroxybenzoate"
C20H32O2+H+,Oryzalexin E
C57H90O6+K+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:0/20:5(5Z,8Z,11Z,14Z,17Z))"
C21H26O2+Na+,Menaquinol
C23H30NO3+Na+,Propantheline
C26H53NO7P+Na+,2-Oleoylglycerophosphocholine
C19H34O2+Na+,Methyl linoleate
C54H100O6+K+,TG(18:1(11Z)/15:0/18:1(9Z))
C28H48NO7P+H+,"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))"
C29H52O+K+,Stigmastanol
C37H68O5+Na+,DG(16:1n7/0:0/18:1n9)
C28H40O4+H+,"2-Acetoxy-3-geranylgeranyl-1,4-dihydroxybenzene"
C27H50O6+H+,"2,3-bis(Acetyloxy)propyl icosanoate"
C26H54NO6P+K+,LysoPC(P-18:0)
C40H62O4+H+,"FAHFA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/13-O-18:2(9Z,​11E))"
C29H54O6+H+,TG(8:0/8:0/10:0)
C20H32O3+Na+,"12,15-Epoxy-13,14-dimethyloctadeca-10,12,14-trienoic acid"
C51H98NO8P+Na+,PE-NMe2(24:1(15Z)/20:1(11Z))
C20H28O3+Na+,Phytocassane D
C39H68O5+Na+,DG(18:1n9/0:0/18:3n3)
C28H50NO7P+Na+,"LysoPC(20:4(8Z,11Z,14Z,17Z))"
C46H87NO13+Na+,Lactosylceramide (d18:1/16:0)
C40H60O6+H+,Mactraxanthin
C34H66NO8P+Na+,PE-NMe(14:1(9Z)/14:0)
C54H102O6+Na+,TG(22:0/15:0/14:1(9Z))
C22H30O2+H+,3a-Hydroxydesogestrel
C30H60NO6P+Na+,CerP(d18:1/12:0)
C35H66O5+K+,DG(14:0/0:0/18:1n9)
C17H34O3+K+,12-hydroxyheptadecanoic acid
C18H32O3+K+,"(9Z,​11E)-13-HODE"
C40H62O4+K+,"FAHFA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/13-O-18:2(9Z,​11E))"
C49H96NO8P+H+,PE-NMe2(18:1(11Z)/24:0)
C24H51NO7P+Na+,1-palmitoylglycerophosphocholine
C15H32O6+K+,"1,2,3-Tris(1-ethoxyethoxy)propane"
C39H72O5+Na+,DG(18:1n7/0:0/18:1n9)
C36H60O7+Na+,Ginsenoside Rh3
C39H66O5+H+,DG(18:1n9/0:0/18:4n3)
C20H34O4+Na+,"15-Hydroperoxyeicosa-8Z,11Z,13E-trienoate"
C31H48O3+H+,Ambonic acid
C28H51NO7P+H+,2-Arachidonoylglycerophosphocholine
C36H58O11+H+,Cyclopassifloside VI
C22H30O3+H+,17-Hydroxymethylethisterone
C18H30O3+K+,5-Butyl-3-methyl-2-furannonanoic acid
C38H70O4+K+,Polyoxyethylene dioleate
C32H49NO5+K+,Daphniphylline
C41H68O5+H+,DG(20:3n6/0:0/18:3n3)
C51H96O6+Na+,TG(20:0/14:0/14:1(9Z))
C31H48O4+K+,"Methyl 3b,24-dihydroxy-11,13(18)-oleanadien-30-oate"
C32H48O7+H+,Hovenidulcigenin A
C42H58O4+K+,Peltatol A
C19H28N2O4+H+,Roxatidine acetate
C41H66O3+Na+,CE(3D5)
C22H34O5+Na+,Annoglabasin F
C52H92O6+Na+,"TG(16:1(9Z)/15:0/18:3(9Z,12Z,15Z))"
C50H99O8P+H+,PA(i-22:0/a-25:0)
C35H64O7+K+,cis-Goniothalamicin
C35H66O8+H+,Donhexocin
C39H70O5+Na+,DG(16:1n7/0:0/20:2n6)
C53H96NO8P+H+,"PE-NMe2(24:0/22:5(4Z,7Z,10Z,13Z,16Z))"
C55H96O5+Na+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z)/o-18:0)"
C35H64O3+K+,Reticulatamone
C77H150O17P2+Na+,CL(8:0/i-20:0/i-20:0/i-20:0)
C22H43NO4+Na+,Pentadecanoylcarnitine
C22H30O7+H+,"1-(4-Hydroxy-3,5-dimethoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-3,5-heptanediol"
C41H70O5+H+,DG(18:1n9/0:0/20:4n3)
C52H86NO8P+H+,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))"
C34H64NO8P+Na+,PE-NMe(14:1(9Z)/14:1(9Z))
C49H100N2O6P+Na+,SM(d18:1/26:0)
C40H62O4+Na+,"FAHFA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/13-O-18:2(9Z,​11E))"
C38H60O3+Na+,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol"
C20H32O7+Na+,Cinnzeylanol
C38H73O8P+H+,PA(20:1(11Z)/15:0)
C24H50S2+K+,Bis(2-methylundecan-2-yl) Disulfide
C41H66O5+H+,DG(18:3n3/0:0/20:4n3)
C51H94O6+Na+,TG(16:1(9Z)/16:0/16:1(9Z))
C19H40O3+Na+,"1,2,4-Nonadecanetriol"
C43H83N2O6P+K+,"SM(d18:0/20:2(11Z,14Z))"
C36H60O10+H+,Notoginsenoside T1
C35H58O6+H+,Clerosterol 3-glucoside
C30H44O4+H+,"16beta-16-Hydroxy-3-oxo-1,12-oleanadien-28-oic acid"
C18H35NO2+Na+,Palmitoleoyl Ethanolamide
C43H70O5+Na+,DG(22:4n6/0:0/18:3n3)
C26H54NO7P+K+,2-acetyl-1-alkyl-sn-glycero-3-phosphocholine
C52H100O6+K+,TG(19:0/20:0/10:0)
C23H34O6+H+,Annoglabasin C
C19H26I3N3O9+Na+,Iohexol
C53H104NO8P+Na+,PE-NMe2(24:1(15Z)/22:0)
C51H88O7+K+,DG(13D5/13D5/0:0)
C32H66NO7P+H+,LysoPC(24:0)
C36H58O10+H+,Arjunolic acid 3-glucoside
C58H90O3+Na+,"6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol"
C36H69NO3+Na+,Cer(d18:1/18:1(11Z))
C36H62N2O+K+,Nb-Hexacosanoyltryptamine
C39H80N2O6P+Na+,SM(d18:1/16:0)
C35H64O4+K+,Cohibin B
C22H32O4+H+,1-beta-hydroxymedroxyprogesterone
C22H34O4+H+,ent-16a-Hydroxy-17-acetoxy-19-kauranal
C23H39O7P+H+,"LysoPA(20:4(8Z,11Z,14Z,17Z)/0:0)"
C18H28O4+Na+,5-O-Methylembelin
C22H42O4+Na+,Dioctyl hexanedioate
C37H66O5+K+,DG(14:1n5/0:0/20:2n6)
C35H67NO4+Na+,"N-(2R-Hydroxyhexadecanoyl)-2S-amino-9-methyl-4E,8E-octadecadiene-1,3R-diol"
C37H73N2O7P+H+,SM(d18:0/14:1(9Z)(OH))
C38H60O9+Na+,Tsugaric acid A 21-glucosyl ester
