ds_id,name,group,submitter,is_public,polarity,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight,include_in_recal,include_in_pilot
2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,AstraZeneca,Nicole Strittmatter,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,447.0,537.0,811.0,2077.0,2016-09-21_16h06m49s,Other Solvent,medium,1.0,255582.01425859588,False,False
2016-09-21_16h06m53s,AstraZeneca//Xenograft,AstraZeneca,Nicole Strittmatter,True,Positive,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,649.0,734.0,863.0,803.0,2016-09-21_16h06m53s,Other Solvent,medium,1.0,221931.0267374964,False,False
2016-10-28_10h26m38s,xenograft CT-26 S10,AstraZeneca,Nicole Strittmatter,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,357.0,466.0,1162.0,2165.0,2016-10-28_10h26m38s,Other Solvent,medium,1.0,255582.01425859588,False,False
2016-12-09_10h16m23s,DESI quan_Swales,AstraZeneca,Nicole Strittmatter,True,Positive,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,498.0,703.0,1302.0,3877.0,2016-12-09_10h16m23s,Other Solvent,medium,1.0,221931.0267374964,False,False
2019-05-31_11h02m14s,slide a_pos_75-750,AstraZeneca,Nicole Strittmatter,True,Positive,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,34.0,53.0,157.0,2523.0,2019-05-31_11h02m14s,Other Solvent,low,1.0,772094.6558871011,True,False
2019-06-10_14h41m50s,slide c_neg_corrected,AstraZeneca,Nicole Strittmatter,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,51.0,135.0,212.0,1308.0,2019-06-10_14h41m50s,Other Solvent,low,1.0,889165.9280400298,True,True
2020-10-26_17h28m00s,20190819_UV-C_effects-Argon_atmosphere_neg,AstraZeneca,Andreas Dannhorn,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,669.0,603.0,1129.0,1885.0,2020-10-26_17h28m00s,Other Solvent,low,1.0,1466304.1402174241,True,False
2020-10-28_16h14m28s,20190612_UVC_Decontamination_eval_posneg_150um_IT150_pos,AstraZeneca,Andreas Dannhorn,True,Positive,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,475.0,496.0,2157.0,6515.0,2020-10-28_16h14m28s,Other Solvent,low,1.0,1273244.4585034028,True,True
2020-10-28_16h14m44s,20190612_UVC_Decontamination_eval_posneg_150um_IT150_neg,AstraZeneca,Andreas Dannhorn,True,Negative,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,520.0,757.0,1086.0,3276.0,2020-10-28_16h14m44s,Other Solvent,low,1.0,1466304.1402174241,True,False
2020-10-28_18h07m23s,20190920_UVC_effects-Argon_atmosphere_pos,AstraZeneca,Andreas Dannhorn,True,Positive,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,363.0,691.0,1622.0,3306.0,2020-10-28_18h07m23s,Other Solvent,low,1.0,1273244.4585034028,False,False
2019-03-26_12h54m24s,t-MALDI-2 R 280000,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,280000.0,7.0,51.0,175.0,341.0,2019-03-26_12h54m24s,HCCA,high,1.0,422936.94449411135,True,False
2019-06-13_20h00m49s,t-MALDI-2 - Fig 4 iii - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,50.0,36.0,89.0,393.0,2019-06-13_20h00m49s,HCCA,low,0.5,337755.99744266423,False,False
2019-06-18_09h35m15s,t-MALDI-2 - Fig 4 iv - 1.5 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,32.0,35.0,159.0,551.0,2019-06-18_09h35m15s,HCCA,low,1.0,675511.9948853285,False,False
