,ion,hmdbID
0,C8H20NO6P+K+,HMDB0000086
1,C8H20NO6P+Na+,HMDB0000086
2,C10H14N5O7P+H+,HMDB0000045
3,C8H20NO6P+H+,HMDB0000086
4,C10H13N5O4+H+,HMDB0000050
5,C10H15N5O10P2+H+,HMDB0000061
6,C7H15NO3+H+,HMDB0000062
7,C7H16NO3+,HMDB0062634
8,C4H9N3O2+Na+,HMDB0000064
9,C4H9N3O2+K+,HMDB0000064
10,C10H15N5O4+H+,HMDB0028880
11,C13H17NO3+Na+,HMDB0033610
12,C30H50NO7P+H+,HMDB0010404
13,C29H47NO4+Na+,HMDB0006321
14,C34H48O7+,HMDB0035388
15,C24H50NO7P+H+,HMDB0010382
16,C24H51NO7P+,HMDB0061702
17,C12H18O6+,HMDB0032527
18,C28H46O4+Na+,HMDB0032875
19,C26H52NO7P+H+,HMDB0002815
20,C26H53NO7P+,HMDB0061701
21,C14H17N5O8+H+,HMDB0000912
22,C13H15N3O2+Na+,HMDB0060861
23,C9H12O4+,HMDB0001490
24,C28H46O4+H+,HMDB0032875
25,C5H15NO4P+,HMDB0001565
26,C18H23NO4+,HMDB0015234
27,C18H23NO4+H+,HMDB0015234
28,C5H5N5O+H+,HMDB0000403
29,C10H17N2O5+Na+,HMDB0029126
30,C19H22N2O+Na+,HMDB0030282
31,C31H42O3+Na+,HMDB0039086
32,C9H17NO8+H+,HMDB0000830
33,C14H16O6+,HMDB0033884
34,C26H50NO7P+H+,HMDB0010386
35,C12H16N2O5+,HMDB0029051
36,C10H11NO+Na+,HMDB0003447
37,C10H16N4O3+H+,HMDB0005769
38,C15H15NO3+Na+,HMDB0014643
39,C6H15N4O2+,HMDB0062762
40,C6H14N4O2+H+,HMDB0000517
41,C26H45NO7S+Na+,HMDB0000036
42,C10H12N4O5+Na+,HMDB0000195
43,C26H52NO7P+Na+,HMDB0002815
44,C10H14N5O7P+Na+,HMDB0000045
45,C23H46NO7P+H+,HMDB0011475
46,C10H15N5O10P2+Na+,HMDB0000061
47,C10H13N5O5+Na+,HMDB0000133
48,C8H17NO2+H+,HMDB0000991
49,C8H18NO2+,HMDB0013305
50,C11H20N2O3+H+,HMDB0011174
51,C31H33N3O7S+H+,HMDB0060986
52,C30H52NO7P+H+,HMDB0010402
53,C26H48NO7P+H+,HMDB0010387
54,C10H15N3O5+Na+,HMDB0000982
55,C9H17NO4+H+,HMDB0000201
56,C16H33NO3+H+,HMDB0032358
57,C28H50NO7P+H+,HMDB0010395
58,C28H51NO7P+,HMDB0061699
59,C32H48O7+,HMDB0041027
60,C7H6O4+Na+,HMDB0001856
61,C26H55NO7P+,HMDB0094688
62,C26H54NO7P+H+,HMDB0010384
63,C27H44O7+,HMDB0030180
64,C34H50O7+,HMDB0035292
65,C30H46O7+,HMDB0034392
66,C10H14N5O5+,HMDB0061067
67,C10H13N5O5+H+,HMDB0000133
68,C8H7NO+Na+,HMDB0032390
69,C25H30N3+,HMDB0014550
70,C30H50NO7P+Na+,HMDB0010404
71,C10H15N3O5+H+,HMDB0000982
72,C24H50NO7P+Na+,HMDB0010382
73,C12H22O11+Na+,HMDB0000163
74,C26H56NO6P+H+,HMDB0011149
75,C15H14O11+,HMDB0040572
76,C13H24N4O3S+H+,HMDB0014517
77,C26H50NO7P+Na+,HMDB0010386
78,C10H14N5O8P+H+,HMDB0001397
79,C23H45NO4+H+,HMDB0000222
80,C17H12O5+,HMDB0034126
81,C7H6O4+H+,HMDB0001856
82,C18H35NO+H+,HMDB0002117
83,C13H10N2O5+H+,HMDB0013870
84,C18H33NO+H+,HMDB0062656
85,C14H18N5O11P+H+,HMDB0000536
86,C14H10O6+H+,HMDB0033326
87,C12H20N2O7+H+,HMDB0033909
88,C28H56NO7P+H+,HMDB0010391
89,C22H24N2O2+H+,HMDB0240231
90,C25H49NO4+H+,HMDB0000848
91,C10H9NO+H+,HMDB0001190
92,C9H14N4O3+H+,HMDB0028689
93,C9H9NO3+H+,HMDB0032398
94,C25H50NO7P+H+,HMDB0011482
95,C25H47NO4+H+,HMDB0005065
96,C8H14N3O7P+H+,HMDB0001235
97,C18H29NO2+H+,HMDB0015447
98,C15H10O6+H+,HMDB0029711
99,C3H10NO4P+H+,HMDB0060173
100,C14H26N4O11P2+H+,HMDB0001413
101,C4H9N3O2+H+,HMDB0013222
102,C28H46O4+K+,HMDB0041527
103,C24H30F2O6+Na+,HMDB0014729
104,C15H29NO5+H+,HMDB0061634
105,C28H52NO7P+H+,HMDB0010394
106,C7H19N3+H+,HMDB0001257
107,C18H33NO+Na+,HMDB0062656
108,C28H50NO7P+Na+,HMDB0010396
109,C17H26O4+Na+,HMDB0040646
110,C24H50NO6P+H+,HMDB0010407
111,C25H45NO4+H+,HMDB0006469
112,C27H30O11+Na+,HMDB0135872
113,C10H26N4+H+,HMDB0001256
114,C16H18N6O5+Na+,HMDB0040912
115,C6H12O6+Na+,HMDB0240211
116,C25H36O3+H+,HMDB0036425
117,C19H24O4+H+,HMDB0134704
118,C24H48NO7P+H+,HMDB0010383
119,C10H16N5O13P3+H+,HMDB0059593
120,C10H19NO4+H+,HMDB0062514
121,C9H20N2O2+H+,HMDB0001325
122,C21H36O3+H+,HMDB0112067
123,C21H41NO4+H+,HMDB0005066
124,C27H54NO7P+H+,HMDB0011521
125,C27H44NO7P+H+,HMDB0011526
126,C12H23NO4+H+,HMDB0041993
127,C11H21NO5+H+,HMDB0062735
128,C11H21NO4+H+,HMDB0062606
129,C29H48O4+H+,HMDB0033634
130,C5H5N5+H+,HMDB0000034
131,C15H15NO3+H+,HMDB0014643
132,C24H29NO9+H+,HMDB0060464
133,C21H26O3+H+,HMDB0014602
134,C18H26O4+H+,HMDB0034780
135,C6H8N2O2+H+,HMDB0004988
136,C30H26O9+H+,HMDB0135066
137,C6H6N2O2+H+,HMDB0061680
138,C15H23N5O3+H+,HMDB0028989
139,C18H30O+H+,HMDB0037519
140,C11H8O5+H+,HMDB0129373
141,C9H15N3O2S+H+,HMDB0003045
142,C28H48NO7P+H+,HMDB0010397
143,C18H12O7+H+,HMDB0128864
144,C24H34O2+H+,HMDB0039760
145,C37H66O4+H+,HMDB0029795
146,C23H44NO7P+H+,HMDB0011507
147,C17H13NO3+H+,HMDB0038955
148,C7H7NO2+H+,HMDB0060722
149,C35H66O4+H+,HMDB0033607
150,C22H22O7+H+,HMDB0038921
151,C18H24O3+H+,HMDB0062741
152,C12H22N4O5+H+,HMDB0013016
153,C26H44O8+H+,HMDB0038540
154,C32H66NO7P+H+,HMDB0010405
155,C14H29NaO4S+H+,HMDB0014607
156,C25H31N3O4+H+,HMDB0033469
157,C5H11NO2+H+,HMDB0015550
158,C12H20N2O3+H+,HMDB0015407
159,C11H19NO6+H+,HMDB0062785
160,C10H13N4O8P+H+,HMDB0011681
161,C16H12O9+H+,HMDB0131885
162,C23H43NO4+H+,HMDB0006317
163,C34H34N4O4+H+,HMDB0000241
164,C29H45NO4+Na+,HMDB0006510
165,C11H18O11+Na+,HMDB0127655
166,C10H13N4O8P+Na+,HMDB0011681
167,C21H28N6O4S+Na+,HMDB0060932
168,C28H28O6+Na+,HMDB0036983
169,C24H48NO7P+Na+,HMDB0010383
170,C32H49NO5+Na+,HMDB0030291
171,C4H7N3O+Na+,HMDB0000562
172,C5H4N4O+H+,HMDB0014581
173,C21H26O4+H+,HMDB0029525
174,C16H28O8+H+,HMDB0041546
175,C15H27NO2Si2+H+,HMDB0094675
176,C14H10O8+H+,HMDB0059651
177,C21H20O7+H+,HMDB0139010
178,C24H51NO7P+H+,HMDB0062541
179,C37H47NO4+H+,HMDB0040684
180,C19H37NO4+H+,HMDB0002250
181,C6H6N2O+H+,HMDB0001406
182,C14H20N6O5S+H+,HMDB0000939
183,C24H31ClO8+H+,HMDB0037042
184,C20H16O7+H+,HMDB0127391
185,C15H10O5+H+,HMDB0137516
186,C19H19NO3+H+,HMDB0030207
187,C11H15N2O8P+H+,HMDB0000229
188,C15H10O4+H+,HMDB0137527
189,C31H42O9+H+,HMDB0037035
190,C10H14O4S-H-,HMDB0133674
191,C6H12O6+Cl-,HMDB0240211
192,C13H22O4-H-,HMDB0038736
193,C10H14N5O7P-H-,HMDB0059594
194,C6H14O12P2-H-,HMDB0062191
195,C6H13O9P-H-,HMDB0062705
196,C20H32O2-H-,HMDB0039702
197,C10H16N4O3-H-,HMDB0000745
198,C18H36O2-H-,HMDB0061946
199,C13H9NO-H-,HMDB0029743
200,C14H24O4-H-,HMDB0036143
201,C9H14N4O3-H-,HMDB0012482
202,C18H34O2-H-,HMDB0240219
203,C6H8O7-H-,HMDB0041862
204,C8H14O7-H-,HMDB0131286
205,C23H32N2O5-H-,HMDB0014324
206,C16H32O2-H-,HMDB0036210
207,C22H32O2-H-,HMDB0038908
208,C10H16O4-H-,HMDB0036715
209,C18H30O3S-H-,HMDB0059915
210,C10H17N3O6S-H-,HMDB0000125
211,C18H32O2-H-,HMDB0062784
212,C6H9NO5-H-,HMDB0060273
213,C10H13N4O8P-H-,HMDB0011681
214,C9H17O12P-H-,HMDB0012152
215,C26H32O3-H-,HMDB0031977
216,C37H71O8P-H-,HMDB0115091
217,C29H41NO7-H-,HMDB0014754
218,C41H78NO8P-H-,HMDB0114015
219,C39H76NO8P-H-,HMDB0114038
220,C45H78NO8P-H-,HMDB0114028
221,C12H18O3-H-,HMDB0041573
222,C16H26O5-H-,HMDB0015643
223,C16H24N3O8-H-,HMDB0060498
224,C39H73O8P-H-,HMDB0116699
225,C10H12N5O6P-H-,HMDB0011616
226,C10H14N5O8P-H-,HMDB0059639
227,C12H22O11+K+,HMDB0133305
228,C10H7NO3+Na+,HMDB0060332
229,C10H7NO3+K+,HMDB0060332
230,C9H14N4O3+K+,HMDB0012482
231,C15H18O10+Na+,HMDB0134108
232,C28H33O14+Na+,HMDB0033679
233,C10H7NO3+H+,HMDB0060332
234,C24H50NO7P+K+,HMDB0010382
235,C18H32O16+K+,HMDB0060468
236,C15H28O4+K+,HMDB0035918
237,C6H12O6+K+,HMDB0240211
238,C7H15NO3+K+,HMDB0062496
239,C15H16O9S+K+,HMDB0127737
240,C18H24O3+Na+,HMDB0062741
241,C26H30O12+Na+,HMDB0133436
242,C15H22N6O5S+H+,HMDB0062709
243,C15H22N2O4+H+,HMDB0139646
244,C17H14O10+H+,HMDB0129424
245,C26H52NO6P+H+,HMDB0010408
246,C9H8O4+H+,HMDB0140956
247,C13H8F2O3+Na+,HMDB0014999
