,Unnamed: 0,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight
1521,3265,2018-01-11_16h14m10s,cryo - sagittal brain,Bruker,Corinna Henkel,True,Positive,mouse,brain,wt,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,339000.0,14.0,22,247.0,211.0,2018-01-12_10h26m08s,DHAP,high,0.3333333333333333,809340.9888215434
1522,3266,2018-01-11_16h15m07s,cryo - sagittal brain,Bruker,Corinna Henkel,True,Positive,mouse,brain,wt,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,339000.0,14.0,22,247.0,211.0,2018-01-12_10h26m08s,DHAP,high,0.3333333333333333,809340.9888215434
1523,3268,2018-01-12_10h26m08s,cryo - sagittal brain,Bruker,Corinna Henkel,True,Positive,mouse,brain,wt,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,339000.0,14.0,22,247.0,211.0,2018-01-12_10h26m08s,DHAP,high,0.3333333333333333,809340.9888215434
3170,6816,2018-04-23_14h00m27s,180323lm_mouse - root mean square,Bruker,Corinna Henkel,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),MeOH,50%MeOH,400000.0,22.0,29,122.0,322.0,2018-04-23_14h00m27s,9AA,high,1.0,4230887.497583602
2276,5101,2019-06-13_20h00m49s,t-MALDI-2 - Fig 4 iii - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,mouse,brain,wildtype,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,50.0,36,89.0,393.0,2019-06-13_20h00m49s,HCCA,low,0.5,454637.88876917877
2273,5098,2019-06-18_09h46m27s,t-MALDI-2 - Fig 4 i - 0.6 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,mouse,brain,wildtype,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,35.0,59,126.0,204.0,2019-06-18_09h46m27s,HCCA,low,1.0,909275.7775383575
2271,5096,2019-06-18_10h25m45s,t-MALDI-2 - Fig 2 pos - 1 um - cerebellum,Dreisewerd group,Marcel Niehaus,True,Positive,mouse,brain,wildtype,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,25.0,13,82.0,482.0,2019-06-18_10h25m45s,HCCA,low,1.0,909275.7775383575
2267,5091,2019-06-19_11h01m04s,t-MALDI-2 - Fig 3 iii - 1 um - cerebellum - pos,Dreisewerd group,Marcel Niehaus,True,Positive,mouse,brain,wildtype,MALDI,t-MALDI-2,Orbitrap,Orbitrap,HCCA,α-Cyano-4-hydroxycinnamic acid (HCCA),Acetone,50/50 acetone/water,70000.0,59.0,51,83.0,332.0,2019-06-13_20h00m49s,HCCA,low,0.5,454637.88876917877
1048,2470,2017-05-02_08h56m35s,purkinje_fibers_mouse_brain,HS Mannheim,Denis Abu Sammour,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,9.0,14,38.0,129.0,2017-05-02_08h56m35s,Other Matrix,high,1.0,1362757.5055890451
1047,2469,2017-05-02_12h35m09s,molecular_layer_brain_mouse,HS Mannheim,Denis Abu Sammour,True,Negative,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,4-Phenyl-alpha-cyanocinnamic acid amide,Other,,1600000.0,7.0,47,44.0,101.0,2017-05-02_12h35m09s,Other Matrix,high,1.0,1362757.5055890451
