ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight,weight,include_in_recal,include_in_pilot
2016-09-21_16h06m49s,AstraZeneca//CT26_xenograft,AstraZeneca,Nicole Strittmatter,True,Negative,mouse,colon,"cancer, xenograft",ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,447.0,537.0,811.0,2077.0,2016-09-21_16h06m49s,Other Solvent,medium,1.0,4223982226.8558626,False,False
2016-09-21_16h06m51s,AstraZeneca//Rat_kidneys,AstraZeneca,Nicole Strittmatter,True,Negative,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,218.0,477.0,853.0,1304.0,2016-09-21_16h06m51s,Other Solvent,medium,1.0,11032040498.74392,False,False
2016-09-21_16h06m53s,AstraZeneca//Xenograft,AstraZeneca,Nicole Strittmatter,True,Positive,rat,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,649.0,734.0,863.0,803.0,2016-09-21_16h06m53s,Other Solvent,medium,1.0,9698876748.306625,False,False
2019-05-31_11h02m14s,slide a_pos_75-750,AstraZeneca,Nicole Strittmatter,True,Positive,n/a,n/a,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,34.0,53.0,157.0,2523.0,2019-05-31_11h02m14s,Other Solvent,low,1.0,73998223693.60715,False,False
2019-06-10_14h41m50s,slide c_neg_corrected,AstraZeneca,Nicole Strittmatter,True,Negative,n/a,n/a,n/a,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,51.0,135.0,212.0,1308.0,2019-06-10_14h41m50s,Other Solvent,low,1.0,63859575833.80846,False,False
2020-10-26_17h28m00s,20190819_UV-C_effects-Argon_atmosphere_neg,AstraZeneca,Andreas Dannhorn,True,Negative,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,669.0,603.0,1129.0,1885.0,2020-10-26_17h28m00s,Other Solvent,low,1.0,61833611403.37433,False,False
2020-10-28_16h14m28s,20190612_UVC_Decontamination_eval_posneg_150um_IT150_pos,AstraZeneca,Andreas Dannhorn,True,Positive,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,475.0,496.0,2157.0,6515.0,2020-10-28_16h14m28s,Other Solvent,low,1.0,71650607581.83232,False,False
2020-10-28_16h14m44s,20190612_UVC_Decontamination_eval_posneg_150um_IT150_neg,AstraZeneca,Andreas Dannhorn,True,Negative,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,520.0,757.0,1086.0,3276.0,2020-10-28_16h14m44s,Other Solvent,low,1.0,61833611403.37433,False,False
2020-10-28_18h07m23s,20190920_UVC_effects-Argon_atmosphere_pos,AstraZeneca,Andreas Dannhorn,True,Positive,rat,kidney,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,70000.0,363.0,691.0,1622.0,3306.0,2020-10-28_18h07m23s,Other Solvent,low,1.0,71650607581.83232,False,False
2018-01-11_16h15m07s,cryo - sagittal brain,Bruker,Corinna Henkel,True,Positive,mouse,brain,wt,MALDI,MALDI,FTICR,FTICR,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,339000.0,14.0,22.0,247.0,211.0,2018-01-12_10h26m08s,DHAP,high,0.3333333333333333,106730007.95363548,False,False
