,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50
0,2022-09-30_11h33m41s,Mouse_brain_10um_NEDC_recal,Spectroglyph LLC,Mikhail Belov,True,Negative,human,brain,control,MALDI,MALDI,Orbitrap,Orbitrap,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),MeOH,70:30 methanol : water,120000.0,7,2,72,1242
1,2022-09-28_16h17m16s,S1_NoLockMass_04012022,Spectroglyph LLC,Mikhail Belov,True,Negative,human,kidney,control,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",MeOH,50 methanol 5% HCl in water,120000.0,16,39,254,1042
2,2022-09-27_16h46m14s,20220920_Image_3_D4NSD_HCCA_12L_10mgml_25mm_ACNeau_120k_500Hz_E2_IC,None,Maureen Feucherolles,True,Positive,human,skin,n/a,MALDI,AP-MALDI,Orbitrap,Orbitrap,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,none,120000.0,1,,20,206
3,2022-09-24_00h46m58s,t1c1#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,100
4,2022-09-24_00h44m30s,t3d5#2_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,2,96
5,2022-09-24_00h41m28s,t3d2#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,2,,,78
6,2022-09-24_00h10m08s,t2c3#1_pos,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,220000.0,3,,,48
7,2022-09-24_02h16m21s,t3_d4#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,9,,921
8,2022-09-24_02h14m38s,t3_d2#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,,13,621
9,2022-09-24_02h14m16s,t3_d2#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,6,8,7,773
10,2022-09-24_02h12m04s,t3_c6#1_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,19,829
11,2022-09-24_02h09m52s,t3_c4#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,14,851
12,2022-09-24_02h11m42s,t3_c5#2_neg,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,9,762
13,2022-09-24_02h08m40s,t3_c3#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,4,,15,718
14,2022-09-24_02h06m41s,t2_d6#2,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,7,,21,817
15,2022-09-24_02h03m47s,t2_d4#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,5,,10,899
16,2022-09-24_02h06m05s,t2_d6#1,PNNL,Dusan Velickovic,True,Negative,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,NEDC,NEDC,MeOH,70% MeOH,220000.0,7,6,22,598
