ion,hmdbID
C8H20NO6P+K+,['HMDB0000086']
C8H20NO6P+Na+,['HMDB0000086']
C10H14N5O7P+H+,"['HMDB0000045', 'HMDB0001044', 'HMDB0003540', 'HMDB0011617', 'HMDB0059594']"
C8H20NO6P+H+,['HMDB0000086']
C10H13N5O4+H+,"['HMDB0000050', 'HMDB0000085', 'HMDB0014340', 'HMDB0014638']"
C10H15N5O10P2+H+,"['HMDB0000061', 'HMDB0000960', 'HMDB0001341']"
C7H15NO3+H+,"['HMDB0000062', 'HMDB0062496']"
C7H16NO3+,['HMDB0062634']
C4H9N3O2+Na+,"['HMDB0000064', 'HMDB0013222']"
C4H9N3O2+K+,"['HMDB0000064', 'HMDB0013222']"
C10H15N5O4+H+,"['HMDB0028880', 'HMDB0028733']"
C13H17NO3+Na+,['HMDB0033610']
C30H50NO7P+H+,['HMDB0010404']
C29H47NO4+Na+,"['HMDB0006321', 'HMDB0006496', 'HMDB0031402']"
C34H48O7+,['HMDB0035388']
C24H50NO7P+H+,['HMDB0010382']
C24H51NO7P+,"['HMDB0061702', 'HMDB0062541']"
C12H18O6+,['HMDB0032527']
C28H46O4+Na+,"['HMDB0032875', 'HMDB0012557', 'HMDB0032107', 'HMDB0032123', 'HMDB0040999', 'HMDB0041527']"
C26H52NO7P+H+,"['HMDB0002815', 'HMDB0010385', 'HMDB0062651']"
C26H53NO7P+,['HMDB0061701']
C14H17N5O8+H+,['HMDB0000912']
C13H15N3O2+Na+,['HMDB0060861']
C9H12O4+,"['HMDB0001490', 'HMDB0035056', 'HMDB0036072', 'HMDB0039650', 'HMDB0040603', 'HMDB0059730', 'HMDB0131233', 'HMDB0126618', 'HMDB0126619', 'HMDB0126620', 'HMDB0125593', 'HMDB0125597']"
C28H46O4+H+,"['HMDB0032875', 'HMDB0012557', 'HMDB0032107', 'HMDB0032123', 'HMDB0040999', 'HMDB0041527']"
C5H15NO4P+,['HMDB0001565']
C18H23NO4+,"['HMDB0015234', 'HMDB0035587', 'HMDB0036359', 'HMDB0039765', 'HMDB0041860', 'HMDB0061077', 'HMDB0061078']"
C18H23NO4+H+,"['HMDB0015234', 'HMDB0035587', 'HMDB0036359', 'HMDB0039765', 'HMDB0041860', 'HMDB0061077', 'HMDB0061078']"
C5H5N5O+H+,"['HMDB0000403', 'HMDB0000132', 'HMDB0000542']"
C10H17N2O5+Na+,['HMDB0029126']
C19H22N2O+Na+,"['HMDB0030282', 'HMDB0033432']"
C31H42O3+Na+,['HMDB0039086']
C9H17NO8+H+,"['HMDB0000830', 'HMDB0037842']"
C14H16O6+,['HMDB0033884']
C26H50NO7P+H+,"['HMDB0010386', 'HMDB0062711']"
C12H16N2O5+,"['HMDB0029051', 'HMDB0029114']"
C10H11NO+Na+,"['HMDB0003447', 'HMDB0030267', 'HMDB0040042', 'HMDB0040028', 'HMDB0040048']"
C10H16N4O3+H+,"['HMDB0005769', 'HMDB0000194', 'HMDB0000745']"
C15H15NO3+Na+,['HMDB0014643']
C6H15N4O2+,['HMDB0062762']
C6H14N4O2+H+,"['HMDB0000517', 'HMDB0003416']"
C26H45NO7S+Na+,"['HMDB0000036', 'HMDB0000889', 'HMDB0000922', 'HMDB0000932', 'HMDB0011637']"
C10H12N4O5+Na+,"['HMDB0000195', 'HMDB0000481', 'HMDB0003040']"
C26H52NO7P+Na+,"['HMDB0002815', 'HMDB0010385', 'HMDB0062651']"
C10H14N5O7P+Na+,"['HMDB0000045', 'HMDB0001044', 'HMDB0003540', 'HMDB0011617', 'HMDB0059594']"
C23H46NO7P+H+,"['HMDB0011475', 'HMDB0011476', 'HMDB0011505', 'HMDB0011506']"
C10H15N5O10P2+Na+,"['HMDB0000061', 'HMDB0000960', 'HMDB0001341']"
C10H13N5O5+Na+,"['HMDB0000133', 'HMDB0003333']"
C8H17NO2+H+,"['HMDB0000991', 'HMDB0014375']"
C8H18NO2+,"['HMDB0013305', 'HMDB0015654']"
C11H20N2O3+H+,"['HMDB0011174', 'HMDB0011175']"
C31H33N3O7S+H+,['HMDB0060986']
C30H52NO7P+H+,"['HMDB0010402', 'HMDB0010403']"
C26H48NO7P+H+,"['HMDB0010387', 'HMDB0010388']"
C10H15N3O5+Na+,"['HMDB0000982', 'HMDB0039229']"
C9H17NO4+H+,"['HMDB0000201', 'HMDB0062176']"
C16H33NO3+H+,['HMDB0032358']
C28H50NO7P+H+,"['HMDB0010395', 'HMDB0010396']"
C28H51NO7P+,['HMDB0061699']
C32H48O7+,['HMDB0041027']
C7H6O4+Na+,"['HMDB0001856', 'HMDB0000152', 'HMDB0000397', 'HMDB0013676', 'HMDB0013677', 'HMDB0029666', 'HMDB0034299', 'HMDB0125090']"
C26H55NO7P+,['HMDB0094688']
C26H54NO7P+H+,"['HMDB0010384', 'HMDB0011128', 'HMDB0062195']"
C27H44O7+,['HMDB0030180']
C34H50O7+,"['HMDB0035292', 'HMDB0035294', 'HMDB0035605']"
