,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight
1,2022-09-28_16h17m16s,S1_NoLockMass_04012022,Spectroglyph LLC,Mikhail Belov,True,Negative,human,kidney,control,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",MeOH,50 methanol 5% HCl in water,120000.0,16,39,254,1042,2022-09-28_16h17m16s,DAN,medium,1.0
81,2022-09-24_00h14m50s,20220921_bg_lung_pos_run02_s3,PNNL,Brittney Gorman,True,Positive,human,lung,biopsy,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH,260000.0,18,48,111,233,2022-09-24_00h13m14s,DHB,high,0.25
102,2022-09-21_06h38m00s,20220914-brain01,None,guo rui,True,Positive,mouse,brain,wildtype,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,41,40,586,4263,2022-09-21_06h38m00s,Other Solvent,medium,1.0
104,2022-09-19_20h08m22s,20220909_Liver1_CA_MW_1148AM,NCSU,Cristina Arciniega,True,Positive,rat,liver,n/a,Other,IR-MALDESI,Orbitrap,Orbitrap,Other,none,ACN,"50% ACN, 50% H2O with 0.2% FA",140000.0,190,308,1225,3646,2022-09-19_20h08m22s,ACN,medium,1.0
105,2022-09-17_20h44m41s,15-0879 wb xenograft trp pathway dosed- rms_corrected,♡EMBL♡,Theodore Alexandrov,True,Positive,mouse,whole organism,n/a,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,280000.0,37,42,302,2843,2022-09-17_20h44m41s,DHB,high,1.0
112,2022-09-16_08h10m36s,20220901_rks_kabir_nm_lowmz2,PNNL,Robert Stanley,True,Negative,poplar,root tip,n/a,MALDI,MALDI,FTICR,7 T FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),Other,none,220000.0,4,15,34,514,2022-09-16_08h09m33s,NEDC,high,0.5
113,2022-09-16_08h09m33s,20220901_rks_kabir_nm_lowmz1,PNNL,Robert Stanley,True,Negative,poplar,root tip,n/a,MALDI,MALDI,FTICR,7 T FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),Other,none,220000.0,2,21,38,518,2022-09-16_08h09m33s,NEDC,high,0.5
114,2022-09-15_11h26m37s,no.0609-afadesi-msi-neg,None,Chenglong Sun,True,Negative,human,gratric cancer tissue,cancer,ESI,AFADESI,Orbitrap,Orbitrap,Other,none,Other,none,140000.0,120,83,240,1381,2022-09-15_03h40m53s,Other Solvent,medium,0.25
115,2022-09-15_11h13m32s,no.0716-afadesi-msi-pos,None,Chenglong Sun,True,Positive,human,gratric cancer tissue,cancer,ESI,AFADESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,19,13,268,3345,2022-09-15_11h39m48s,Other Solvent,medium,0.25
120,2022-09-12_20h58m17s,2022_09_06_rks_cole_neg_highmass_,PNNL,Robert Stanley,True,Negative,sorghum,root tip,n/a,MALDI,MALDI,FTICR,7 T FTICR,NEDC,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),Other,none,220000.0,52,46,136,730,2022-09-12_20h58m17s,NEDC,high,1.0
137,2022-09-09_00h17m07s,t2_co2_2,PNNL,Dusan Velickovic,True,Positive,poplar,leaf,wildtype,MALDI,MALDI,FTICR,7 T FTICR,DHB,DHB,MeOH,70% MeOH,220000.0,7,11,22,1766,2022-09-09_00h36m39s,DHB,high,0.043478260869565216
192,2022-08-23_23h48m59s,AD POS Aug 12 2022,None,Nilay Saha,True,Positive,mouse,brain,n/a,ESI,UV-MALDESI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",MeOH,70% MeOH | 0.1% TFA,120000.0,66,159,552,4788,2022-08-23_23h48m59s,MeOH,medium,1.0
195,2021-06-16_17h59m41s,S-2102-003410_7_S1_SM_Neg_20210610_AP,UTHSA,Annapurna Pamreddy,True,Negative,human,kidney,frozen,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,134164.07864998738,21,19,21,3109,2021-12-01_18h08m03s,DAN,medium,0.004830917874396135
201,2022-08-16_12h31m33s,MouseBrain_PlasmaPI_Pos_TIMS,UoW,Jesse Michael,True,Positive,mouse,brain,wildtype,MALDI,MALDI,TOF,qTOF,DHAP,"2,5-dihydroxyacetophenone (DHA)",Other,none,60000.0,46,77,156,855,2022-08-16_12h31m33s,DHAP,low,1.0
203,2022-07-16_08h03m42s,S-2102-006510_10_S3_SM_Neg_20220714_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,33,73,659,42,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
204,2022-07-16_08h00m45s,S-2102-006557_9_S3_SM_Neg_20220714_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,30,304,355,138,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
205,2022-07-16_07h41m50s,S-2102-006604_10_S3_SM_Neg_20220713_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,46,116,461,3,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
206,2022-07-16_07h14m38s,S-2101-000800_3_S3_SM_Neg_20220713_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,100,157,279,1,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
207,2022-07-16_07h38m57s,S-2101-000800_10_S3_SM_Neg_20220713_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,30,69,304,79,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
208,2022-08-05_22h30m25s,sph cer ht29-total ion count,None,Yijia wang,True,Positive,tumor spheroids,spheroids,n/a,MALDI,MALDI,FTICR,15 T FTICR,DHB,DHB,ACN,50%ACN,140000.0,66,39,154,264,2022-08-05_22h30m25s,DHB,medium,0.5
209,2022-08-05_22h31m01s,sph cer hct116-total ion count,None,Yijia wang,True,Positive,tumor spheroids,spheroids,n/a,MALDI,MALDI,FTICR,15 T FTICR,DHB,DHB,ACN,50%ACN,140000.0,50,65,92,195,2022-08-05_22h31m01s,DHB,medium,0.5
220,2022-07-25_21h58m39s,sph cer ht29-total ion count,None,Yijia wang,True,Positive,tumor spheroids,spheroids,n/a,MALDI,MALDI,FTICR,15 T FTICR,DHB,DHB,ACN,50%ACN,140000.0,40,36,151,88,2022-08-05_22h30m25s,DHB,medium,0.5
221,2022-07-25_21h20m51s,ht29 48h-total ion count,None,Yijia wang,True,Positive,tumor spheroids,spheroids,n/a,MALDI,MALDI,FTICR,15 T FTICR,DHB,DHB,ACN,50%ACN,140000.0,54,71,109,185,2022-07-25_21h20m51s,DHB,medium,0.3333333333333333
222,2022-07-23_22h57m09s,S-2107-023615_12_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,33,22,147,700,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
223,2022-07-23_22h56m03s,S-2107-023543_11_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,12,18,102,923,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
224,2022-07-23_22h52m33s,S-2107-023615_11_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,10,13,62,801,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
225,2022-07-23_22h49m15s,S-2107-023525_6_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,10,24,53,742,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
226,2022-07-23_22h48m15s,S-2107-023615_8_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,17,17,169,686,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
227,2022-07-23_22h47m12s,S-2107-023543_7_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,16,58,194,790,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
228,2022-07-23_22h44m27s,S-2107-023525_3_S3_SM_Neg_20220721_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,18,28,86,818,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
229,2022-07-22_20h53m38s,hct116 spheroids 48h-total ion count,None,Yijia wang,True,Positive,tumor spheroids,spheroids,n/a,MALDI,MALDI,FTICR,15 T FTICR,DHB,DHB,ACN,50%ACN,140000.0,44,65,124,252,2022-08-10_00h38m11s,DHB,medium,0.3333333333333333
233,2022-07-16_07h59m11s,S-2102-006510_9_S3_SM_Neg_20220714_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,13,19,114,617,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
235,2022-07-16_07h52m47s,S-1905-017743_6_S3_SM_Neg_20220714_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,10,22,214,542,2022-07-16_07h41m50s,DAN,medium,0.01282051282051282
239,2022-07-16_07h07m42s,S-2101-000800_Mimetic1_S3_SM_Neg_20220713_GZ,UTHSA,Guanshi Zhang,True,Negative,human,kidney,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",EtOH,50% EtOH+5%HCl,120000.0,33,43,206,209,2022-07-16_08h06m25s,DAN,medium,0.08333333333333333
240,2022-07-13_21h31m13s,20201029_slide 17_DDA_naive_2022-7-13T17-1-20,M4I,Roel Tans,True,Negative,mouse,liver,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,27,52,98,7,2022-07-13_21h29m52s,Norharmane,high,0.3333333333333333
241,2022-07-13_21h30m17s,20201029_slide 13_DDA_t14_2022-7-13T13-54-20,M4I,Roel Tans,True,Negative,mouse,liver,diseased,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,32,84,97,15,2022-07-13_21h32m00s,Norharmane,high,0.16666666666666666
242,2022-07-13_21h28m34s,20201029_slide 9_DDA_t14_2022-7-13T10-4-50,M4I,Roel Tans,True,Negative,mouse,liver,diseased,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,8,99,98,30,2022-07-13_21h32m00s,Norharmane,high,0.16666666666666666
243,2022-07-13_21h29m14s,20201029_slide 9_DDA_t20_2022-7-13T12-7-27,M4I,Roel Tans,True,Negative,mouse,liver,diseased,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,7,126,108,25,2022-07-13_21h32m00s,Norharmane,high,0.16666666666666666
244,2022-07-13_21h25m35s,20200825_Slide 1_t20_DDA_2022-7-12T19-20-32,M4I,Roel Tans,True,Negative,mouse,liver,diseased,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,MeOH,CHCl3/MeOH=2:1,240000.0,7,82,116,28,2022-07-13_21h25m05s,Norharmane,high,0.5
