ion,datasets
C10H7NO3+K+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C9H17NO4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C10H7NO3+Na+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C24H50NO7P+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C4H9N3O2+K+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C10H11NO+Na+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C7H15NO3+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C28H33O14+Na+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C29H47NO4+Na+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C23H45NO4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C9H14N4O3+K+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C7H15NO3+K+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C11H20N2O3+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C9H20N2O2+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s', '2017-05-17_19h50m07s']"
C24H32O5+Na+,['2017-08-03_15h09m06s']
C10H7NO3+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C10H11NO2+Na+,['2017-08-03_15h09m06s']
C26H30O12+Na+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C21H22O5+H+,['2017-08-03_15h09m06s']
C8H17NO2+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C11H21NO4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s']"
C15H22N2O4+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C10H16N4O3+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C22H22O7+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s']"
C10H19NO4+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s', '2017-05-17_19h50m07s']"
C17H14O10+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C25H49NO4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C15H22N6O5S+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s']"
C26H52NO6P+H+,"['2017-08-03_15h09m06s', '2017-08-03_15h09m51s']"
C25H47NO4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C37H68O4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s']"
C12H20N2O3+H+,"['2017-08-03_15h09m06s', '2017-05-17_19h50m07s']"
C26H50NO7P+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C8H20NO6P+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C35H66O4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s']"
C21H36O3+H+,"['2017-08-03_15h09m06s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s']"
C26H52NO7P+H+,"['2017-08-03_15h09m06s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C37H66O4+H+,"['2017-08-03_15h09m06s', '2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s']"
C7H6O4+Na+,"['2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C8H20NO6P+K+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C12H22O11+Na+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C10H15N5O10P2+H+,"['2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C10H14N5O7P+H+,"['2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C8H20NO6P+Na+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C12H22O11+K+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s']"
C15H18O10+Na+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s']"
C22H24N2O2+H+,"['2017-08-11_07h59m58s', '2017-05-17_19h49m04s']"
C9H14N4O3+H+,"['2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C15H10O6+H+,"['2017-08-11_07h59m58s', '2017-05-17_19h49m04s']"
C13H17NO3+Na+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C6H12O6+K+,"['2017-08-11_07h59m58s', '2017-08-03_15h09m51s']"
C9H8O4+H+,['2017-08-11_07h59m58s']
C13H8F2O3+Na+,['2017-08-11_07h59m58s']
C14H10O6+H+,"['2017-08-11_07h59m58s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C13H13N3+H+,['2017-08-11_07h59m58s']
C7H6O4+H+,"['2017-08-11_07h59m58s', '2017-05-30_06h56m05s', '2017-05-17_19h50m07s', '2017-05-17_19h49m04s']"
C14H28O7+H+,['2017-08-11_07h59m58s']
C9H15N3O2+H+,['2017-08-11_07h59m58s']
C47H69O8P+H+,['2017-08-11_07h59m58s']
