,C8H20NO6P+K+,C10H16N4O3+H+,C4H9N3O2+K+,C10H14N5O7P+H+,C8H20NO6P+H+,C8H20NO6P+Na+,C15H18O10+Na+,C15H22N6O5S+H+,C24H50NO7P+H+,C37H66O4+H+,C13H17NO3+Na+,C29H47NO4+Na+,C9H17NO4+H+,C23H45NO4+H+,C7H15NO3+H+,C22H22O7+H+,C37H68O4+H+,C25H49NO4+H+,C25H47NO4+H+,C11H21NO4+H+,C26H50NO7P+H+,C35H66O4+H+,C11H20N2O3+H+,C10H7NO3+K+,C28H33O14+Na+,C24H50NO7P+K+,C18H32O16+K+,C7H15NO3+K+,C15H16O9S+K+,C26H30O12+Na+,C8H17NO2+H+,C11H21NO5+H+,C10H11NO2+Na+,C21H22O5+H+,C26H52NO7P+H+
C8H20NO6P+K+,1.0000025,0.03508742,0.1322338,0.5006909,0.96826845,0.94034714,0.06436066,0.29436603,0.33437783,0.06299048,0.96826845,0.33437783,0.33963418,0.07759907,0.5221806,0.28283718,0.084952585,0.07054322,0.051789176,0.4604444,0.31135166,0.06110862,0.11525692,,,,,,,,,,,,
C10H16N4O3+H+,0.03508742,1.0000011,0.6720338,0.314898,0.03553718,0.026794322,0.00455677,0.584193,0.28901076,0.11340978,0.03553718,0.28901076,0.39882386,0.18767056,0.24504645,0.52072674,0.13548855,0.1181782,0.09083945,0.29535398,0.039927416,0.11571668,0.61478347,,,,,,,,,,,,
C4H9N3O2+K+,0.1322338,0.6720338,1.0000025,0.592267,0.12787515,0.1091192,0.0119878985,0.839375,0.38597703,0.12796865,0.12787515,0.38597703,0.7410221,0.20276324,0.54531085,0.79879034,0.16648217,0.15035923,0.12528643,0.5737902,0.08718819,0.13685262,0.9089655,,,,,,,,,,,,
C10H14N5O7P+H+,0.5006909,0.314898,0.592267,0.9999994,0.5072336,0.4225397,0.027343603,0.7397454,0.68450874,0.3305046,0.5072336,0.68450874,0.6633194,0.2750618,0.6682427,0.63858944,0.38483053,0.22389004,0.18978578,0.6943221,0.36931524,0.32565966,0.5570814,,,,,,,,,,,,
C8H20NO6P+H+,0.96826845,0.03553718,0.12787515,0.5072336,1.0000046,0.92809385,0.11007096,0.29966655,0.4101962,0.102043524,1.0000046,0.4101962,0.36202216,0.08982813,0.5511757,0.28627914,0.12776947,0.08322469,0.06007099,0.507226,0.38138884,0.09498624,0.12489484,,,,,,,,,,,,
C8H20NO6P+Na+,0.94034714,0.026794322,0.1091192,0.4225397,0.92809385,1.0000011,0.06799108,0.24475996,0.30076036,0.07162081,0.92809385,0.30076036,0.36341503,0.1421515,0.5561144,0.2332874,0.09172313,0.11839918,0.09602264,0.41920108,0.21983226,0.07284659,0.1052509,,,,,,,,,,,,
C15H18O10+Na+,0.06436066,0.00455677,0.0119878985,0.027343603,0.11007096,0.06799108,1.0000014,0.07999599,0.28000802,0.0007167091,0.11007096,0.28000802,0.02568699,0.0015595811,0.03897075,0.085111365,0.0004894234,0.00016025387,0.00012421006,0.057283547,0.1323965,0.00025400217,0.20541227,,,,,,,,,,,,
C15H22N6O5S+H+,0.29436603,0.584193,0.839375,0.7397454,0.29966655,0.24475996,0.07999599,0.9999952,0.55608654,0.17123316,0.29966655,0.55608654,0.720637,0.20652854,0.59183055,0.95703214,0.2189204,0.16519059,0.13478188,0.651653,0.19607759,0.17703298,0.76328427,,,,,,,,,,,,
C24H50NO7P+H+,0.33437783,0.28901076,0.38597703,0.68450874,0.4101962,0.30076036,0.28000802,0.55608654,1.0000024,0.4281168,0.4101962,1.0000024,0.46319556,0.30583182,0.47487235,0.45145357,0.45945606,0.23977017,0.20564616,0.5223294,0.5687725,0.40901738,0.4162137,,,,,,,,,,,,
C37H66O4+H+,0.06299048,0.11340978,0.12796865,0.3305046,0.102043524,0.07162081,0.0007167091,0.17123316,0.4281168,1.0000015,0.102043524,0.4281168,0.21696495,0.20767577,0.27855438,0.06698389,0.95203567,0.16783981,0.16683657,0.19640966,0.19581862,0.93227494,0.12090566,,,,,,,,,,,,
